@relation distances

@attribute rssi1 numeric
@attribute rssi2 numeric
@attribute rssi3 numeric
@attribute target numeric

@data
-59,-60,-60,4.0
-63,-63,-58,4.0
-60,-61,-64,4.0
-58,-58,-61,4.0
-61,-62,-60,4.0
-59,-60,-62,4.0
-60,-59,-60,4.0
-58,-60,-62,4.0
-60,-59,-58,4.0
-58,-58,-60,4.0
-60,-59,-58,4.0
-60,-58,-59,4.0
-61,-60,-58,4.0
-58,-59,-59,4.0
-60,-59,-60,4.0
-59,-58,-60,4.0
-59,-59,-59,4.0
-60,-59,-59,4.0
-59,-59,-59,4.0
-60,-58,-59,4.0
-60,-59,-58,4.0
-59,-60,-59,4.0
-60,-59,-59,4.0
-59,-60,-59,4.0
-58,-59,-61,4.0
-58,-59,-59,4.0
-61,-59,-59,4.0
-61,-59,-58,4.0
-61,-59,-61,4.0
-61,-59,-61,4.0
-60,-60,-58,4.0
-63,-58,-61,4.0
-58,-56,-60,4.0
-61,-61,-65,4.0
-60,-62,-60,4.0
-60,-57,-63,4.0
-60,-63,-59,4.0
-59,-64,-60,4.0
-59,-59,-64,4.0
